SEG NUM, PARENT, CHILDREN, STATUS, DIAMETER, START X, START Y, START X, END X, END Y, END Z, LENGTH, ENERGY, VELOCITY, DIST FROM ROOT, FARTHEST DIST FROM ROOT, 
65, 58, pr: 67 pr: 68 , PRIMARY, 0.131917, -4.90869, 52.6159, -12.1562, -3.79635, 51.5874, -13.6718, 2.14294, 214294, 0.00870101, 0, 0, 
66, 58, pr: 69 pr: 70 , PRIMARY, 0.108992, -4.90869, 52.6159, -12.1562, -4.02686, 52.2401, -12.7095, 1.10683, 110896, 0.00593961, 0, 0, 
67, 65, NO CHILDREN, PRIMARY, 0.076396, -3.79635, 51.5874, -13.6718, -3.63953, 51.1332, -14.2654, 0.763759, 76376, 0.00291818, 0, 0, 
68, 65, NO CHILDREN, PRIMARY, 0.0762588, -3.79635, 51.5874, -13.6718, -3.8919, 51.0406, -14.3372, 0.866545, 74808.5, 0.0029077, 0, 0, 
69, 66, NO CHILDREN, PRIMARY, 0.0824301, -4.02686, 52.2401, -12.7095, -3.13473, 52.0695, -13.1728, 1.01964, 101964, 0.00339736, 0, 0, 
70, 66, NO CHILDREN, PRIMARY, 0.0753846, -4.02686, 52.2401, -12.7095, -3.13182, 51.9126, -12.7404, 0.953565, 105088, 0.00284142, 0, 0, 
71, 8, pr: 73 pr: 74 , PRIMARY, 0.319484, -4.98818, 60.4847, -6.32347, -6.69872, 58.6074, -7.78858, 2.93204, 293204, 0.051035, 0, 0, 
72, 8, pr: 103 pr: 104 , PRIMARY, 0.25941, -4.98818, 60.4847, -6.32347, -5.29292, 57.3075, -10.5986, 5.33523, 437586, 0.0336468, 0, 0, 
73, 71, pr: 75 pr: 76 , PRIMARY, 0.202355, -6.69872, 58.6074, -7.78858, -7.16921, 57.1059, -8.92949, 1.94357, 194357, 0.0204738, 0, 0, 
74, 71, pr: 89 pr: 90 , PRIMARY, 0.220418, -6.69872, 58.6074, -7.78858, -5.80045, 56.062, -10.2385, 3.64527, 280912, 0.0242921, 0, 0, 
75, 73, pr: 77 pr: 78 , PRIMARY, 0.142977, -7.16921, 57.1059, -8.92949, -7.07481, 54.9745, -9.99026, 2.38264, 238264, 0.0102212, 0, 0, 
76, 73, pr: 83 pr: 84 , PRIMARY, 0.139169, -7.16921, 57.1059, -8.92949, -5.01624, 55.5077, -10.3493, 3.0341, 269272, 0.00968402, 0, 0, 
77, 75, pr: 79 pr: 80 , PRIMARY, 0.0946125, -7.07481, 54.9745, -9.99026, -6.9955, 54.5357, -10.0734, 0.453667, 45366.5, 0.00447577, 0, 0, 
78, 75, pr: 81 pr: 82 , PRIMARY, 0.10822, -7.07481, 54.9745, -9.99026, -7.54193, 54.403, -10.2953, 0.798687, 74699.9, 0.00585574, 0, 0, 
79, 77, NO CHILDREN, PRIMARY, 0.0591222, -6.9955, 54.5357, -10.0734, -6.97201, 54.3182, -10.0618, 0.219027, 21902.8, 0.00174772, 0, 0, 
80, 77, NO CHILDREN, PRIMARY, 0.0675145, -6.9955, 54.5357, -10.0734, -7.17991, 53.8023, -9.87601, 0.781547, 76591.2, 0.0022791, 0, 0, 
81, 78, NO CHILDREN, PRIMARY, 0.0754016, -7.54193, 54.403, -10.2953, -7.62444, 54.0748, -10.5782, 0.441074, 44107.5, 0.0028427, 0, 0, 
82, 78, NO CHILDREN, PRIMARY, 0.070553, -7.54193, 54.403, -10.2953, -7.12195, 53.7317, -10.9465, 1.02524, 82418.2, 0.00248887, 0, 0, 
83, 76, pr: 85 pr: 86 , PRIMARY, 0.103086, -5.01624, 55.5077, -10.3493, -4.28855, 55.2259, -10.7006, 0.855751, 85575, 0.00531333, 0, 0, 
84, 76, pr: 87 pr: 88 , PRIMARY, 0.105408, -5.01624, 55.5077, -10.3493, -4.3351, 55.0124, -11.4095, 1.35396, 129884, 0.00555539, 0, 0, 
85, 83, NO CHILDREN, PRIMARY, 0.0794872, -4.28855, 55.2259, -10.7006, -3.57022, 55.1515, -10.8917, 0.747016, 74701.6, 0.0031591, 0, 0, 
86, 83, NO CHILDREN, PRIMARY, 0.0668509, -4.28855, 55.2259, -10.7006, -3.95878, 54.7483, -11.4282, 0.930706, 94605.3, 0.00223452, 0, 0, 
87, 84, NO CHILDREN, PRIMARY, 0.0882472, -4.3351, 55.0124, -11.4095, -4.45045, 55.0287, -11.2703, 0.181516, -18151.6, 0.00389378, 0, 0, 
88, 84, NO CHILDREN, PRIMARY, 0.0650984, -4.3351, 55.0124, -11.4095, -5.12651, 54.9173, -11.1888, 0.82712, 108643, 0.0021189, 0, 0, 
89, 74, pr: 91 pr: 92 , PRIMARY, 0.178408, -5.80045, 56.062, -10.2385, -5.58781, 55.4155, -11.97, 1.86048, 186048, 0.0159146, 0, 0, 
90, 74, pr: 97 pr: 98 , PRIMARY, 0.130945, -5.80045, 56.062, -10.2385, -5.38602, 55.2298, -11.576, 1.62885, 140093, 0.00857328, 0, 0, 
91, 89, pr: 93 pr: 94 , PRIMARY, 0.123019, -5.58781, 55.4155, -11.97, -5.54119, 55.1634, -14.04, 2.08584, 208584, 0.00756684, 0, 0, 
92, 89, pr: 95 pr: 96 , PRIMARY, 0.0915704, -5.58781, 55.4155, -11.97, -4.63088, 54.9188, -12.7834, 1.35055, 129383, 0.00419257, 0, 0, 
93, 91, NO CHILDREN, PRIMARY, 0.0636993, -5.54119, 55.1634, -14.04, -5.8439, 55.211, -14.6202, 0.656074, 65607.4, 0.0020288, 0, 0, 
94, 91, NO CHILDREN, PRIMARY, 0.0735765, -5.54119, 55.1634, -14.04, -5.20446, 55.1671, -14.8194, 0.848992, 86602.6, 0.00270675, 0, 0, 
95, 92, NO CHILDREN, PRIMARY, 0.0828288, -4.63088, 54.9188, -12.7834, -3.85724, 54.9846, -13.13, 0.850266, 85026.5, 0.0034303, 0, 0, 
96, 92, NO CHILDREN, PRIMARY, 0.0820696, -4.63088, 54.9188, -12.7834, -4.18997, 54.7202, -13.5089, 0.871865, 92443.8, 0.00336771, 0, 0, 
97, 90, pr: 99 pr: 100 , PRIMARY, 0.120516, -5.38602, 55.2298, -11.576, -5.40237, 54.5554, -12.0902, 0.848306, 84830.7, 0.00726206, 0, 0, 
