SEG NUM, PARENT, CHILDREN, START X, START Y, START X, END X, END Y, END Z, DIST 2 ROOT, MAX DIST 2 ROOT, 
82, 79, NO CHILDREN, -12.7576, 63.0087, -4.53757, -12.9037, 62.4496, -4.52873, 0, 0, 
83, 79, NO CHILDREN, -12.7576, 63.0087, -4.53757, -12.701, 62.88, -4.73975, 0, 0, 
84, 77, pr: 86 pr: 87 , -13.1136, 64.6536, -3.65744, -13.0003, 64.5553, -3.51456, 0, 0, 
85, 77, pr: 88 pr: 89 , -13.1136, 64.6536, -3.65744, -13.1218, 64.2833, -3.14714, 0, 0, 
86, 84, NO CHILDREN, -13.0003, 64.5553, -3.51456, -12.788, 63.9269, -3.26313, 0, 0, 
87, 84, NO CHILDREN, -13.0003, 64.5553, -3.51456, -12.7799, 64.4303, -3.43542, 0, 0, 
88, 85, NO CHILDREN, -13.1218, 64.2833, -3.14714, -13.0819, 64.2868, -2.71592, 0, 0, 
89, 85, NO CHILDREN, -13.1218, 64.2833, -3.14714, -12.9472, 63.7918, -2.94527, 0, 0, 
90, 75, pr: 92 pr: 93 , -13.6793, 64.2875, -3.13352, -14.4747, 63.9527, -2.97148, 0, 0, 
91, 75, pr: 98 pr: 99 , -13.6793, 64.2875, -3.13352, -14.057, 64.0321, -2.4391, 0, 0, 
92, 90, pr: 94 pr: 95 , -14.4747, 63.9527, -2.97148, -14.9345, 63.9952, -2.60645, 0, 0, 
93, 90, pr: 96 pr: 97 , -14.4747, 63.9527, -2.97148, -14.9339, 63.4567, -2.27042, 0, 0, 
94, 92, NO CHILDREN, -14.9345, 63.9952, -2.60645, -15.0876, 64.2449, -2.21592, 0, 0, 
95, 92, NO CHILDREN, -14.9345, 63.9952, -2.60645, -15.4228, 64.2656, -2.59179, 0, 0, 
96, 93, NO CHILDREN, -14.9339, 63.4567, -2.27042, -14.8885, 63.3688, -1.9866, 0, 0, 
97, 93, NO CHILDREN, -14.9339, 63.4567, -2.27042, -15.0014, 63.0967, -2.12978, 0, 0, 
98, 91, pr: 100 pr: 101 , -14.057, 64.0321, -2.4391, -14.0384, 63.716, -1.79354, 0, 0, 
99, 91, pr: 102 pr: 103 , -14.057, 64.0321, -2.4391, -14.1888, 64.1086, -1.36055, 0, 0, 
100, 98, NO CHILDREN, -14.0384, 63.716, -1.79354, -14.069, 63.3194, -1.61694, 0, 0, 
101, 98, NO CHILDREN, -14.0384, 63.716, -1.79354, -13.7186, 63.6169, -1.29171, 0, 0, 
102, 99, NO CHILDREN, -14.1888, 64.1086, -1.36055, -14.4429, 63.8812, -0.821667, 0, 0, 
103, 99, NO CHILDREN, -14.1888, 64.1086, -1.36055, -14.197, 63.851, -0.892736, 0, 0, 
104, 73, pr: 106 pr: 107 , -11.8233, 66.3895, -3.49222, -11.9716, 65.71, -3.78483, 0, 0, 
105, 73, pr: 120 pr: 121 , -11.8233, 66.3895, -3.49222, -12.0649, 66.0285, -3.92902, 0, 0, 
106, 104, pr: 108 pr: 109 , -11.9716, 65.71, -3.78483, -11.7222, 64.371, -3.74035, 0, 0, 
107, 104, pr: 114 pr: 115 , -11.9716, 65.71, -3.78483, -12.0289, 64.8478, -3.50464, 0, 0, 
108, 106, pr: 110 pr: 111 , -11.7222, 64.371, -3.74035, -11.7736, 63.7505, -3.38199, 0, 0, 
109, 106, pr: 112 pr: 113 , -11.7222, 64.371, -3.74035, -11.0229, 63.4971, -3.39441, 0, 0, 
110, 108, NO CHILDREN, -11.7736, 63.7505, -3.38199, -11.5951, 63.5205, -2.94801, 0, 0, 
111, 108, NO CHILDREN, -11.7736, 63.7505, -3.38199, -11.8366, 63.5477, -3.40368, 0, 0, 
112, 109, NO CHILDREN, -11.0229, 63.4971, -3.39441, -11.005, 63.1358, -3.38117, 0, 0, 
113, 109, NO CHILDREN, -11.0229, 63.4971, -3.39441, -11.077, 62.962, -3.16075, 0, 0, 
114, 107, pr: 116 pr: 117 , -12.0289, 64.8478, -3.50464, -12.0333, 64.3551, -2.88496, 0, 0, 
115, 107, pr: 118 pr: 119 , -12.0289, 64.8478, -3.50464, -12.1279, 64.5097, -3.56873, 0, 0, 
116, 114, NO CHILDREN, -12.0333, 64.3551, -2.88496, -12.1799, 63.8941, -2.66009, 0, 0, 
117, 114, NO CHILDREN, -12.0333, 64.3551, -2.88496, -12.6168, 64.067, -2.38144, 0, 0, 
